t,OF,Pcc,Tcc,Pe,Te,thrust,Isp,x,y,u,v,Ax,Ay,m_ox,n_ox,T_ox,P_ox,mdot_ox,rho_ox,m_f,n_f,T_f,P_f,mdot_f,rho_f,t_burn,Pcc_nominal,mdot_ox_nominal,OF_nominal,diameter,injector_Cd,dt,gamma,specific_gas_const,gas_const,
2.460606061,2.994294421,349.236534,2763.143854,85817.52319,1435.087949,2106.052206,228.5280163,6.744529845,98.17504453,5.229736137,76.10162482,2.159869106,31.36783782,4.927387734,0.111953008,275.7601351,3784876.457,0.798478512,897.4075145,1.686831683,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
2.545454545,2.99450548,349.2590269,2763.260099,85824.00618,1435.178738,2106.434021,228.5307284,7.201872685,104.8294165,5.409247516,78.70780911,2.158410633,31.33626345,4.856059126,0.110332382,275.6753116,3784392.513,0.798534795,897.8985936,1.664653465,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
2.63030303,2.99517326,349.3301907,2763.609037,85844.68172,1435.451051,2107.161315,228.5388641,7.674133239,111.7002701,5.588663133,81.31182646,2.157259198,31.31020863,4.784740055,0.108711973,275.5899084,3784323.596,0.798712869,898.3955672,1.642475248,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
2.715151515,2.995412044,349.3556366,2763.735896,85852.24507,1435.550063,2107.57827,228.5418214,8.161299592,118.7873474,5.767951335,83.91305348,2.15572719,31.27665831,4.713440915,0.107092016,275.5039318,3783858.478,0.798776545,898.8915882,1.62029703,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
2.8,2.996075001,349.4262818,2764.089776,85872.72731,1435.82646,2108.318239,228.5500726,8.663364075,126.0904687,5.947135589,86.51191056,2.15447734,31.24816247,4.642151807,0.105472288,275.4173592,3783778.21,0.798953334,899.3932936,1.598118812,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
2.884848485,2.996325444,349.4529682,2764.221834,85880.58621,1435.929578,2108.758143,228.5531506,9.180314226,133.6093616,6.126185289,89.10779425,2.152859492,31.21241099,4.570882734,0.103853015,275.3301963,3783317.005,0.799020118,899.8942684,1.575940594,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
2.96969697,2.996971593,349.5218178,2764.559792,85900.67665,1436.193535,2109.499056,228.5610269,9.712141549,141.3438269,6.305122051,91.70109008,2.151501541,31.18129513,4.499624489,0.102233987,275.242421,3783214.253,0.799192425,900.4007537,1.553762376,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
3.054545455,2.997220491,349.5483379,2764.691709,85908.29124,1436.296639,2109.951973,228.564102,10.25883295,149.2935763,6.483916191,94.29121208,2.149786681,31.14313358,4.428386709,0.100615425,275.154038,3782744.706,0.799258798,900.9067204,1.531584158,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
3.139393939,2.997839953,349.6143397,2765.018859,85927.54902,1436.552304,2110.688279,228.5717258,10.82037908,157.4583907,6.6625879,96.87851887,2.148314594,31.10928402,4.357160797,0.098997133,275.0650257,3782610.293,0.799423988,901.418054,1.509405941,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
3.224242424,2.99807627,349.6395177,2765.145489,85935.11474,1436.651259,2111.147595,228.574676,11.3967662,165.8379653,6.841108603,99.46244545,2.146498929,31.06864104,4.285956058,0.097379321,274.9753881,3782122.161,0.799487005,901.929072,1.487227723,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
